Traded,Ticker,net_sentiment,weighted_sentiment,net_sentiment_D,net_sentiment_R,total_trades,avg_trade_size
2012-02-27 00:00:00+00:00,EP$C,-1,-8000.5,-1,0,1,8000.5
2012-03-20 00:00:00+00:00,EP$C,-1,-8000.5,-1,0,1,8000.5
2012-06-06 00:00:00+00:00,KSU,1,8000.5,1,0,1,8000.5
2012-07-24 00:00:00+00:00,PG,-1,-8000.5,-1,0,1,8000.5
2012-07-26 00:00:00+00:00,CAT,1,8000.5,1,0,1,8000.5
2012-08-16 00:00:00+00:00,PG,-1,-8000.5,-1,0,1,8000.5
2012-09-13 00:00:00+00:00,DD,1,8000.5,1,0,1,8000.5
2012-11-13 00:00:00+00:00,LMT,-1,-8000.5,-1,0,1,8000.5
2012-12-17 00:00:00+00:00,DD,1,8000.5,1,0,1,8000.5
2013-01-01 00:00:00+00:00,ABBV,0,0.0,0,0,1,8000.5
2013-01-02 00:00:00+00:00,ABBV,1,8000.5,1,0,1,8000.5
2013-01-09 00:00:00+00:00,GMXRQ,1,8000.5,0,1,1,8000.5
2013-01-15 00:00:00+00:00,KMI,1,8000.5,1,0,1,8000.5
2013-01-17 00:00:00+00:00,GOOGL,-1,-8000.5,-1,0,1,8000.5
2013-01-24 00:00:00+00:00,AAPL,0,0.0,0,0,1,8000.5
2013-01-24 00:00:00+00:00,STT,-1,-8000.5,0,-1,1,8000.5
2013-01-30 00:00:00+00:00,PNC,1,8000.5,0,1,1,8000.5
2013-02-13 00:00:00+00:00,CCL,-1,-8000.5,-1,0,1,8000.5
2013-02-13 00:00:00+00:00,MLPN,2,16001.0,2,0,2,8000.5
2013-02-19 00:00:00+00:00,MLPN,2,16001.0,2,0,2,8000.5
2013-02-20 00:00:00+00:00,UIS,-1,-8000.5,-1,0,1,8000.5
2013-02-26 00:00:00+00:00,CSCO,-2,-16001.0,-2,0,2,8000.5
2013-03-04 00:00:00+00:00,COH,-1,-8000.5,-1,0,1,8000.5
2013-03-04 00:00:00+00:00,FEZ,1,32500.5,1,0,1,32500.5
2013-03-04 00:00:00+00:00,GLW,-1,-8000.5,-1,0,1,8000.5
2013-03-04 00:00:00+00:00,STJ,-1,-8000.5,-1,0,1,8000.5
2013-03-05 00:00:00+00:00,IYG,1,32500.5,1,0,1,32500.5
2013-03-07 00:00:00+00:00,DORM,-1,-8000.5,-1,0,1,8000.5
2013-03-12 00:00:00+00:00,ATMP,1,8000.5,1,0,1,8000.5
2013-03-15 00:00:00+00:00,ATMP,3,24001.5,3,0,3,8000.5
2013-03-15 00:00:00+00:00,DD,1,8000.5,1,0,1,8000.5
2013-03-15 00:00:00+00:00,MLPN,-1,-8000.5,-1,0,1,8000.5
2013-03-28 00:00:00+00:00,PAA,-1,-8000.5,-1,0,1,8000.5
2013-04-05 00:00:00+00:00,ADM,-1,-8000.5,-1,0,1,8000.5
2013-04-08 00:00:00+00:00,WCRX,1,8000.5,0,1,1,8000.5
2013-04-15 00:00:00+00:00,BHP,-1,-8000.5,0,-1,1,8000.5
2013-04-15 00:00:00+00:00,WFT,-1,-8000.5,0,-1,1,8000.5
2013-04-16 00:00:00+00:00,BDX,-1,-8000.5,0,-1,1,8000.5
2013-04-19 00:00:00+00:00,AAPL,1,8000.5,0,1,1,8000.5
2013-04-22 00:00:00+00:00,IBM,1,8000.5,0,1,1,8000.5
2013-04-22 00:00:00+00:00,WFT,-1,-8000.5,0,-1,1,8000.5
2013-04-24 00:00:00+00:00,DLPH,1,32500.5,1,0,1,32500.5
2013-04-26 00:00:00+00:00,EMR,-1,-8000.5,0,-1,1,8000.5
2013-04-29 00:00:00+00:00,CG,1,175000.5,0,1,1,175000.5
2013-04-29 00:00:00+00:00,QCOM,-1,-8000.5,0,-1,1,8000.5
2013-05-01 00:00:00+00:00,KMP,0,0.0,0,0,1,32500.5
2013-05-02 00:00:00+00:00,ARG,-1,-8000.5,0,-1,1,8000.5
2013-05-02 00:00:00+00:00,WLL,1,8000.5,0,1,1,8000.5
2013-05-03 00:00:00+00:00,VCLT,1,8000.5,0,1,1,8000.5
2013-05-06 00:00:00+00:00,EXXI,1,8000.5,0,1,1,8000.5
2013-05-08 00:00:00+00:00,USB$N,-1,-8000.5,-1,0,1,8000.5
2013-05-08 00:00:00+00:00,YUM,-1,-8000.5,-1,0,1,8000.5
2013-05-10 00:00:00+00:00,KEY,1,8000.5,0,1,1,8000.5
2013-05-10 00:00:00+00:00,TSCO,-1,-8000.5,0,-1,1,8000.5
2013-05-18 00:00:00+00:00,CAT,-1,-8000.5,-1,0,1,8000.5
2013-05-20 00:00:00+00:00,SWI,1,8000.5,0,1,1,8000.5
2013-05-24 00:00:00+00:00,TRN,1,32500.5,0,1,1,32500.5
